,mode,count,acousticness,artists,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
113,1,17,0.256893529,AWOLNATION,0.628411765,216051.0,0.688,0.338922435,0.295705882,-7.504470587999999,0.049264706,135.2505294,0.426235294,55.35294118
114,1,19,0.180465579,AZ,0.726578947,253800.7368,0.646368421,0.000607965,0.23666842100000002,-7.812157895,0.297315789,97.83547368,0.620315789,44.78947368
115,0,39,0.17201076899999998,Aaliyah,0.677871795,251971.4615,0.6013589739999999,0.009464694000000001,0.22004102600000003,-8.014794872000001,0.10226153800000001,124.3112564,0.641153846,43.66666667
116,1,125,0.955224,Aaron Copland,0.3502792,259123.568,0.1560196,0.436706174,0.157872,-19.230776000000002,0.0638368,106.760888,0.2237472,7.56
117,0,16,0.0393825,Aaron Hall,0.7086875,315113.25,0.6419375,4.88e-05,0.2420125,-7.8096875,0.051775,126.084125,0.4845625,39.25
118,0,1,0.758,Aaron Krause,0.325,223893.0,0.201,0.0,0.0977,-11.595,0.0282,81.869,0.172,67.0
119,0,4,0.9925,Aaron Lansing,0.413,134934.5,0.0211,0.9465,0.11425,-27.8425,0.0566,94.446,0.161,62.0
120,0,4,0.2055,Aaron May,0.7735,183568.5,0.4975,1.82e-05,0.133,-8.2015,0.18265,141.0915,0.5765,65.0
121,1,4,0.02325,Aaron Shust,0.5015,273220.0,0.6705,0.0,0.19175,-4.918,0.03605,113.99,0.3105,51.0
122,1,22,0.199845455,Aaron Tippin,0.652454545,198106.7273,0.648272727,5.3200000000000006e-05,0.15897272699999998,-8.830818182,0.030009091,113.97227269999999,0.594545455,41.54545455
123,1,8,0.083475,Aaron Watson,0.6535,232576.75,0.579,4.6e-06,0.1338,-7.05525,0.03165,138.97075,0.49125,50.25
124,1,2,0.995,Aaron Zigman,0.445,169467.0,0.0123,0.925,0.16899999999999998,-25.605999999999998,0.0454,58.875,0.23199999999999998,50.0
125,0,19,0.19633684199999998,Ab-Soul,0.645947368,289496.1579,0.713105263,1.8e-06,0.24947894699999998,-6.500894737,0.2872,110.8102632,0.482368421,51.52631579
126,1,6,0.429333333,Abbey Lincoln,0.47866666700000005,380471.0,0.479333333,0.223233333,0.284,-9.486,0.078366667,82.38866667,0.450666667,20.33333333
127,0,58,0.861931034,Abdel Halim Hafez,0.392241379,658751.5862,0.310689655,0.07649862,0.309551724,-10.98734483,0.044793103,114.0124138,0.452137931,21.44827586
128,1,2,0.9940000000000001,Abdul,0.599,153228.0,0.10400000000000001,0.00946,0.10800000000000001,-10.296,0.1,131.624,0.607,0.0
129,1,2,0.406,Abhi The Nomad,0.722,214059.5,0.5885,0.000525,0.17185,-7.4595,0.0953,106.4485,0.3195,61.0
130,1,2,0.00183,Above The Law,0.6990000000000001,253293.0,0.9259999999999999,6.68e-06,0.0522,-8.925,0.0968,97.84200000000001,0.7559999999999999,30.0
131,1,2,0.33799999999999997,Abracadabra,0.617,223467.0,0.37200000000000005,0.0,0.159,-13.622,0.0339,131.562,0.28600000000000003,53.0
132,0,2,0.23,Absofacto,0.688,224661.0,0.5820000000000001,0.000157,0.0663,-10.668,0.0542,85.486,0.872,72.0
133,1,1,0.0901,Abstract,0.6409999999999999,212715.0,0.5379999999999999,0.0,0.205,-10.398,0.245,79.038,0.29600000000000004,59.0
134,1,2,0.0019399999999999999,Abwrts,0.402,197493.0,0.765,0.00971,0.0732,-12.535,0.0385,177.752,0.96,36.0
135,1,80,0.948525,Academy of St. Martin in the Fields,0.26819625,321842.35,0.10003975,0.72583675,0.1414825,-23.0620375,0.04319375,100.4099,0.19132375,34.775
136,1,4,0.86525,Accademia I Filarmonici,0.43725,138003.5,0.27525,0.619521475,0.18535,-16.99225,0.04235,115.5995,0.54575,46.75
137,1,38,0.003812432,Accept,0.43805263200000005,266774.7368,0.766947368,0.043785514000000005,0.254505263,-9.537210526,0.058563158,127.6598947,0.45942105299999997,37.42105263
138,1,4,0.066836,Acceptance,0.41700000000000004,178966.5,0.7935,0.0,0.10165,-4.3525,0.04075,126.8425,0.5175,46.0
139,0,2,0.5870000000000001,Ace,0.7170000000000001,204227.0,0.406,0.10300000000000001,0.0869,-13.954,0.0305,123.213,0.703,61.0
140,1,10,0.07044700000000001,Ace Hood,0.6828,270885.7,0.7141,0.0,0.21014000000000002,-4.9226,0.15822,145.9247,0.29763,54.4
141,0,20,0.028642200000000003,Ace of Base,0.7228,222997.4,0.8222,0.16389598,0.10808,-6.6183,0.04488,103.6322,0.7981,55.0
142,1,3,0.04072,Aceyalone,0.799333333,275915.6667,0.761333333,1.4599999999999999e-05,0.12633333300000002,-7.604666667,0.215633333,94.22566667,0.485333333,36.66666667
143,1,16,0.017189526,Acid Bath,0.32475,313795.0,0.847,0.315189975,0.1025375,-7.25,0.0666375,124.539125,0.351625,36.125
144,1,2,0.00352,Acid King,0.321,384867.0,0.662,0.503,0.105,-10.374,0.0349,117.853,0.19899999999999998,44.0
145,1,4,0.3455,Acoustic Alchemy,0.64,276066.5,0.5795,0.501,0.1666,-12.539000000000001,0.04135,90.6215,0.8105,29.0
146,1,2,0.284,Active Child,0.5720000000000001,321453.0,0.535,0.0587,0.128,-8.919,0.0284,134.96200000000002,0.252,49.0
147,1,10,0.708,Adalberto Santiago,0.6474,366645.4,0.7562,0.026098000000000003,0.4189,-5.8315,0.04875,119.26700000000001,0.86,32.6
148,1,16,0.0856375,Adam Ant,0.595375,220406.625,0.90775,0.044895828,0.364175,-5.1415,0.0716625,109.099625,0.665,36.375
149,1,4,0.866,Adam Carroll,0.618,225853.0,0.353,0.0,0.14300000000000002,-9.824,0.0556,106.906,0.4675,38.0
150,1,7,0.16791728600000003,Adam Hicks,0.532,176301.0,0.7352857140000001,1.01e-06,0.13388571400000002,-4.2662857139999995,0.051871429000000004,140.3574286,0.5241428570000001,55.28571429
151,0,2,0.35600000000000004,Adam Jensen,0.557,189600.0,0.721,0.0,0.146,-5.1339999999999995,0.0416,125.324,0.392,65.0
152,0,10,0.050732,Adam Lambert,0.5706,221516.6,0.8134,3.84e-06,0.16782,-4.5908,0.07932,130.1084,0.5022,60.8
