genres,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count
"['baltimore hip hop', 'drill', 'underground hip hop', 'vapor trap']",A$AP ANT,0.0889,0.9,236227,0.532,0,0.0533,-5.516,0.0744,140.023,0.592,59,0,1,1
"['hip hop', 'rap', 'southern hip hop', 'trap', 'vapor trap']",A$AP Mob,0.244255556,0.780666667,237664.6667,0.717888889,1.84E-06,0.158911111,-5.916666667,0.2586,129.4382222,0.491,59.22222222,8,1,9
"['east coast hip hop', 'hip hop', 'rap', 'trap', 'underground hip hop']",A$AP Rocky,0.193702406,0.671229167,219365.4271,0.66903125,0.015331933,0.209775,-6.87225,0.190591667,128.9268854,0.39188125,63.39583333,1,1,96
"['bubblegum dance', 'dance pop', 'europop']",A*Teens,0.04309,0.717,202773.6667,0.879,0.009303333,0.257433333,-5.705666667,0.036566667,124.9966667,0.789,45.33333333,4,1,6
"['classic hardstyle', 'euphoric hardstyle', 'rawstyle']",A-Lusion,0.0209,0.5105,338208.5,0.9185,0.174,0.1256,-4.0415,0.0407,150.0085,0.2395,0,3,1,4
"['banda', 'corrido', 'nuevo regional mexicano', 'regional mexican']",A-Trak,0.009398,0.7048,287949.6,0.7302,0.1555734,0.17292,-3.6818,0.13292,131.1848,0.8042,56.6,1,0,5
"['deep indian pop', 'filmi']",A. M. Rajah,0.899681818,0.541772727,188202.0455,0.458077273,0.291998749,0.230986364,-10.32381818,0.112659091,131.5843182,0.858909091,4.818181818,6,1,22
['trap soul'],A.CHAL,0.494,0.734,165214,0.472,0.00293,0.102,-8.192,0.306,190.011,0.387,64,1,0,2
"['desi pop', 'filmi', 'modern bollywood', 'sufi']",A.R. Rahman,0.3355525,0.65225,360520.75,0.512875,8.30E-05,0.082875,-11.055,0.0536625,122.08775,0.5745,56.125,2,1,8
['scandipop'],A7S,0.166633333,0.742666667,168293,0.726,0,0.154666667,-5.921333333,0.198,121.2963333,0.554666667,87,8,0,3
"['europop', 'swedish pop']",ABBA,0.345721746,0.575166667,232053.7302,0.659585714,0.020649907,0.205304762,-8.492928571,0.03805,121.5762063,0.667936508,43.25396825,2,1,252
"[""preschool children's music""]",ABC,0.231155556,0.687333333,231968.4444,0.788666667,0.022105362,0.1832,-7.475555556,0.060633333,122.3861111,0.774888889,42.44444444,9,1,18
"['dirty south rap', 'gangster rap', 'houston rap']",ABN,0.160175,0.75725,300163.25,0.72525,0,0.22275,-6.952,0.19,137.1425,0.54975,42,4,0,8
['future bass'],ABSRDST,0.0383,0.651,241711,0.793,0.022,0.178,-5.288,0.0837,146.07,0.261,52,5,1,1
['meme rap'],ACOT,0.000319,0.73,169912,0.567,8.54E-06,0.105,-8.085,0.0587,119.997,0.171,62,1,0,2
"['alternative metal', 'emo', 'pop punk', 'punk', 'screamo', 'skate punk']",AFI,0.006557275,0.390138889,187259.2222,0.905722222,0.031634462,0.222552778,-5.111388889,0.087366667,127.02575,0.444338889,42.22222222,4,0,72
"['k-pop', 'korean pop']",AILEE,0.262,0.606,232333,0.872,0,0.125,-2.114,0.0519,129.965,0.226,58,7,0,2
"['opm', 'viral pop']",AJ Rafael,0.5154,0.68,208678,0.4596,0,0.13936,-6.3206,0.03478,113.7878,0.6424,61.6,7,1,5
"['acoustic punk', 'anti-folk', 'folk punk', 'indie rock']",AJJ,0.230612667,0.524,155697.6667,0.633111111,7.22E-06,0.292277778,-6.656,0.067033333,105.0102222,0.764222222,48.44444444,0,1,18
['modern rock'],AJR,0.172479864,0.605389831,216583.2034,0.662745763,0.000138779,0.167018644,-5.570847458,0.068189831,114.0378475,0.525457627,57.6440678,7,1,59
['meme rap'],AL-X The Great,0.282,0.797,173558,0.518,0,0.0954,-12.625,0.281,139.988,0.717,54,7,1,1
"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",ALI,0.0989,0.578,89667,0.875,0,0.351,-2.132,0.0642,133.964,0.617,64,5,0,2
"['cali rap', 'hyphy', 'k-rap', 'west coast trap']",ALLBLACK,0.271,0.922,210338,0.703,0,0.227,-4.652,0.259,104.979,0.685,58,1,1,1
"['pop soul', 'r&b']",ALO,0.362,0.815,218973,0.412,0.00048,0.129,-9.28,0.0438,87.983,0.669,57,0,1,1
"['k-pop', 'k-pop girl group']",AOA,0.43,0.758,179808,0.858,0,0.201,-2.502,0.0464,119.992,0.963,56,5,1,2
"['big room', 'edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'progressive trance', 'russian edm', 'trance', 'tropical house', 'uplifting trance']",ARTY,0.0268,0.438,224520,0.856,6.27E-06,0.375,-4.158,0.0584,127.991,0.49,57,0,1,2
"['german dance', 'german techno', 'german trance', 'trance']",ATB,0.102866667,0.680333333,225377.6667,0.918666667,0.76,0.189266667,-6.191666667,0.0397,131.479,0.743666667,58,10,0,6
"['k-pop', 'k-pop boy group']",ATEEZ,0.0503,0.572,199013,0.964,0,0.372,-1.949,0.123,129.979,0.519,68,4,0,2
"['art pop', 'norwegian pop']",AURORA,0.7166,0.431,211047,0.27652,0.000141274,0.1402,-11.0328,0.0485,122.563,0.274,61.6,11,1,10
['vapor pop'],AViVA,0.0351,0.549,228904,0.656,1.19E-06,0.129,-6.515,0.0438,180.043,0.594,62,3,1,2
"['future bass', 'traprun']",AWAY,0.137,0.72,212571,0.633,0.00157,0.122,-5.212,0.0633,140.027,0.634,58,5,0,2
"['la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp pop']",AWOLNATION,0.256893529,0.628411765,216051,0.688,0.338922435,0.295705882,-7.504470588,0.049264706,135.2505294,0.426235294,55.35294118,1,1,17
"['gruperas inmortales', 'nu-cumbia', 'regional mexican']",AZ,0.180465579,0.726578947,253800.7368,0.646368421,0.000607965,0.236668421,-7.812157895,0.297315789,97.83547368,0.620315789,44.78947368,9,1,19
"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop', 'pop rap', 'r&b', 'urban contemporary']",Aaliyah,0.172010769,0.677871795,251971.4615,0.601358974,0.009464694,0.220041026,-8.014794872,0.102261538,124.3112564,0.641153846,43.66666667,9,0,39
