mode,genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key
1,art pop,0.338307424,0.539091244,253557.0744,0.538730452,0.203678684,0.169878461,-9.834776589,0.05418891,120.4287168,0.418311367,50.0939632,7
1,art punk,0.164765238,0.549297092,222741.9486,0.720001572,0.200216316,0.221182224,-9.24317246,0.076754376,127.4823049,0.616223097,34.95197103,9
1,art rock,0.296577559,0.497711986,276878.3249,0.56642728,0.190037801,0.191949712,-11.41248705,0.055925329,120.9183343,0.51786035,36.80458776,9
1,art song,0.987546616,0.340706301,242920.8339,0.111179906,0.092377522,0.118952629,-19.44371201,0.050582333,114.9594397,0.197904523,18.35770541,10
1,asbury park indie,0.000969,0.557,226853,0.815,0.00188,0.0932,-5.402,0.0328,88.929,0.445,50,0
1,asheville indie,0.600666667,0.548,257521.6667,0.517,0.312333333,0.121666667,-7.792333333,0.0342,106.5876667,0.539333333,47,0
1,asian american hip hop,0.23309381,0.7636,196914.8952,0.651395238,0.000469933,0.18369,-6.776066667,0.120814762,108.3532762,0.49197619,61.84761905,1
0,asmr,0.480967778,0.185222222,203037.3333,0.308333333,0.917111111,0.219444444,-19.46566667,0.064311111,80.81955556,0.027011111,63,10
1,athens indie,0.173428382,0.509680297,243839.7098,0.654058942,0.23816765,0.157444977,-9.104683445,0.041957361,126.1764315,0.533933775,40.99592391,11
1,atl hip hop,0.129432789,0.735364137,244548.8058,0.646132698,0.012819807,0.192917639,-6.704093317,0.182482102,123.1413446,0.528473847,51.95816213,1
1,atl trap,0.132926968,0.72213094,234431.2204,0.615624066,0.006039195,0.199819781,-7.099126385,0.217777642,124.5135694,0.496611883,56.33085114,2
1,atlanta indie,0.152908,0.5667,218955.44,0.70826,0.09881184,0.26024,-7.60262,0.0516,122.26438,0.61928,52.28,10
1,atlanta metal,0.009120461,0.449061111,217496.5278,0.924458333,0.154464284,0.2131375,-4.874466667,0.086423889,122.7044889,0.428252778,47.78888889,1
1,atlanta punk,0.1622,0.5065,138560,0.6695,0.000406,0.203,-7.0745,0.0336,155.7905,0.821,48,11
1,atmosphere,0.889513265,0.27009898,188269.9082,0.118075,0.870469388,0.113680102,-24.01653061,0.060891837,93.49492347,0.136160204,51.53571429,1
1,atmospheric black metal,0.001325495,0.263833333,356480,0.768166667,0.768183333,0.326033333,-9.345,0.057366667,111.0275,0.241016667,43.83333333,4
1,atmospheric dnb,0.03,0.683,267107,0.789,0.0105,0.0724,-9.034,0.0602,119.504,0.657,48,2
0,atmospheric post-metal,2.71E-05,0.29,348640,0.717,0.816,0.706,-9.439,0.0556,110.271,0.236,40,9
0,atmospheric post-rock,0.00942,0.869,308613,0.888,0.00111,0.186,-2.731,0.0859,135.023,0.856,0,4
0,atmospheric sludge,2.71E-05,0.29,348640,0.717,0.816,0.706,-9.439,0.0556,110.271,0.236,40,9
1,auckland indie,0.015414769,0.5735625,221540,0.6374375,0.037088688,0.24785,-6.58875,0.0652125,126.718875,0.36406875,56.125,4
1,audiophile vocal,0.639833333,0.5125,196339.8333,0.264566667,0.00014681,0.1298,-17.35033333,0.0334,84.95633333,0.513433333,31.16666667,2
0,aussietronica,0.137679231,0.630715385,260786.0731,0.674307692,0.126789091,0.145451538,-6.743130769,0.047776538,119.2326615,0.3131,60.09615385,1
1,austin americana,0.392044375,0.571604167,278978.6146,0.622635417,0.008585393,0.22688125,-7.121666667,0.076841667,112.8602083,0.4863125,50.65625,7
1,austin singer-songwriter,0.475697917,0.539541667,291757.1979,0.631479167,0.033680548,0.312616667,-9.7305,0.062720833,127.6133958,0.537864583,41.16666667,9
1,austindie,0.329137192,0.605551282,241183.3782,0.631615385,0.054386819,0.161711538,-7.344634615,0.054124359,108.6766538,0.58950641,50.94871795,9
1,australian alternative pop,0.683729043,0.484417391,250463.1652,0.395973913,0.007340046,0.143366957,-8.909017391,0.044387826,122.8094174,0.133502609,63.04347826,5
1,australian alternative rock,0.085765629,0.531821875,229777.9198,0.770702083,0.035360336,0.199778229,-7.595144792,0.063610938,117.6873333,0.554604167,44.403125,2
1,australian ambient,0.987,0.301,367667,0.0089,0.907,0.101,-30.804,0.0371,127.536,0.0897,58,1
1,australian children's music,0.491046494,0.709746753,116084.8117,0.430863636,1.01E-05,0.172324675,-12.06540909,0.08946039,139.497039,0.766116883,42.05194805,7
1,australian choir,0.993,0.291,164000,0.0218,3.50E-06,0.0766,-25.876,0.0528,136.837,0.291,15,10
1,australian classical,0.359525,0.357,128650,0.171075,0.454875,0.10745,-19.9035,0.0359,104.83375,0.15655,26,9
1,australian classical piano,0.969,0.113,194267,0.0732,0.772,0.107,-23.21,0.0496,174.599,0.0379,39,0
1,australian country,0.339247747,0.594223158,204273.6316,0.543227368,2.09E-05,0.125474947,-9.926075789,0.050018947,108.1226737,0.535172632,43.41894737,2
0,australian dance,0.112890493,0.611252138,245335.8206,0.748335717,0.112706291,0.214657396,-6.354233965,0.067751221,128.9278332,0.459290185,53.37918619,7
0,australian electropop,0.175574947,0.574181519,263496.0802,0.661549312,0.153471562,0.177977233,-7.507762607,0.048345304,140.4901216,0.412506821,50.58788515,5
1,australian garage punk,0.320974063,0.572375,194024.5625,0.8628125,0.173588669,0.1735375,-5.1425625,0.056125,126.96425,0.58025,56.375,7
1,australian hip hop,0.10397188,0.666116736,184552.6512,0.69684573,0.076432948,0.212993216,-7.261687672,0.103391529,125.5140572,0.578628444,58.42011019,7
1,australian house,0.085592857,0.625857143,295320.2857,0.810357143,0.341962286,0.232735714,-5.363857143,0.044092857,123.2542143,0.550642857,58.07142857,0
1,australian indie,0.186219446,0.585605392,281224.3521,0.704720588,0.102425664,0.178315686,-6.712343954,0.066599101,119.960482,0.446161275,53.57843137,7
1,australian indie folk,0.334759259,0.526375,275284.7454,0.545166667,0.042583737,0.15992963,-9.823430556,0.103252315,118.4320324,0.38567963,56.38888889,5
1,australian indie rock,0.116,0.529,242007,0.638,0,0.0964,-7.104,0.0301,169.96,0.504,61,0
1,australian indigenous,0.03335,0.479,235633.5,0.7835,0.0001325,0.2585,-5.562,0.03165,113.622,0.606,34,2
1,australian metal,0.00132,0.392,215227,0.966,0.0473,0.239,-3.863,0.172,139.83,0.0764,55,9
1,australian metalcore,0.043186316,0.456929167,213564.7403,0.849493056,0.011220441,0.181460833,-5.5863375,0.094525833,129.9488347,0.357088889,47.71944444,9
1,australian pop,0.232096394,0.590632402,241329.884,0.649048972,0.027318792,0.166159345,-7.039690318,0.059337497,121.5352037,0.488809386,57.52646006,0
1,australian post-hardcore,0.0378,0.594,156027,0.567,0.000354,0.0894,-9.363,0.0374,132.368,0.574,40,9
1,australian post-punk,0.01559,0.430125,276101.75,0.575,0.31175975,0.2128625,-13.35925,0.0459875,115.189125,0.604125,28.5,7
1,australian psych,0.134794739,0.471847536,266790.74,0.712496957,0.100386012,0.162870768,-5.895188116,0.095634754,126.3117455,0.395962464,55.78362319,2
1,australian r&b,0.51875,0.6175,277272,0.4165,3.20E-05,0.10445,-8.246,0.107125,102.273,0.277,62.25,2
0,australian reggae fusion,0.3465176,0.55283,275271.43,0.56126,0.098800994,0.132122,-8.64181,0.066119,113.03957,0.44118,59.26,0
1,australian rock,0.141649547,0.550118802,233613.9211,0.717513244,0.028185555,0.208741898,-8.439748167,0.054202515,119.0003597,0.599886545,45.49562379,9
1,australian singer-songwriter,0.40575,0.65475,199223.1667,0.550083333,1.15E-05,0.234,-8.880666667,0.035758333,123.2328333,0.6295,50.08333333,7
0,australian ska,9.58E-05,0.312666667,211724.6667,0.994666667,0.0001827,0.1561,-4.356,0.158666667,148.061,0.2289,43.33333333,9
1,australian talent show,0.427,0.536,253886.5,0.616,0.0002395,0.11,-6.7765,0.15675,120.1325,0.4205,59.5,9
1,australian trap,0.195111111,0.756666667,177615.5556,0.574888889,2.95E-05,0.235022222,-6.343333333,0.187777778,147.6844444,0.745333333,58.11111111,0
1,australian underground hip hop,0.332333333,0.535,239449,0.777666667,0,0.422,-5.504,0.2144,115.0343333,0.481,56.66666667,0
1,austrian choir,0.950324074,0.224555556,320689.9074,0.259627917,0.425388103,0.249209722,-18.34758333,0.058544907,98.9734213,0.162618981,12.10648148,2
1,austrian classical piano,0.98800947,0.34636066,403607.9978,0.101157835,0.850368777,0.102026136,-24.52822619,0.046249865,116.8292811,0.238680168,22.01785714,5
1,austrian orchestra,0.95336711,0.238083708,367128.9643,0.135466023,0.474556726,0.200785937,-20.68307131,0.045614021,121.7975274,0.192057566,19.93358825,10
0,austrian pop,0.298333333,0.486166667,237053.1667,0.501833333,0.207775833,0.174366667,-10.13333333,0.061608333,118.6434167,0.19625,49.75,1
1,austro-german modernism,0.823490476,0.36567619,230413.1143,0.253082857,0.517911842,0.280903333,-17.57917143,0.048122381,107.8529143,0.379633333,4.323809524,5
0,austropop,0.21876,0.7496,262367.8,0.7114,0.000797684,0.12028,-10.1848,0.0662,129.0448,0.8438,55.4,9
1,autoharp,0.886,0.727,148467,0.265,0,0.719,-14.013,0.0804,108.762,0.809,35,11
